sid,lat,lon
b'1854303N14072',19.35874707282202,72.77624310192728
b'1888309N16068',20.73245667604276,70.70994573116725
b'1892119N17061',22.850415913358212,69.18801911733244
b'1897191N20070',22.433280287117793,69.5999984741211
b'1903195N21070',20.883987649694667,70.4000015258789
b'1917292N10073',22.542184510280137,69.93163985830111
b'1920158N14069',21.150055472650443,70.05005413645927
b'1925153N19071',20.737010212555475,70.69999694824219
b'1925175N19072',22.10804809423481,69.07585579631791
b'1926259N21070',20.9581007028323,70.27905220443003
b'1927314N12068',18.5987642840248,72.8981473826586
b'1930298N10075',10.806939630894876,73.68611820028224
b'1933133N09070',21.11726976006612,70.08345252602142
b'1937276N14074',17.953841934207233,73.03076563032515
b'1940284N13072',18.681232284692356,72.86041304515742
b'1944166N17070',20.806513241359166,71.19999694824219
b'1947103N10075',20.729394213718216,70.92939469633828
b'1947266N18072',19.95576012787935,72.71858484823514
b'1948323N10071',19.50536580791349,72.82146587403467
b'1954188N21072',21.063243045487216,71.80000305175781
b'1956282N18071',22.281321581666557,72.85541695492641
b'1959284N20072',20.929602318621697,71.5
b'1961143N14073',16.44587325076593,73.34587580902671
b'1961172N19072',23.43346397839044,68.40019533305113
b'1961183N22070',21.82102873998253,71.97897089818242
b'1962189N22069',22.40672313976807,68.98655321400541
b'1964161N17071',23.204202687931495,68.60420161723235
b'1969156N19068',20.75579276464037,71.12789420893303
b'1971153N19062',22.872519310782298,69.13512015698342
b'1973188N21071',22.28537322025673,69.30000305175781
b'1975150N09073',19.0,73.05957360858284
b'1975175N21072',22.214168633663398,69.17166147702653
b'1975275N21067',22.983573872659445,68.94178785592034
b'1975292N16073',21.889079624952508,69.2890829193248
b'1976150N12070',21.11129365226877,71.90564810742761
b'1982309N12066',22.184759044889596,72.56951523182912
b'1983171N20071',21.287394373770933,69.92913235906605
b'1985148N15067',23.881182027243646,68.79373012253117
b'1985279N20072',21.04385307305235,71.78596535452614
b'1986221N22070',22.304646211296404,68.93373949158735
b'1989159N17072',22.538348894055382,69.93834968848998
b'1993309N06072',9.706398739445435,76.34040068732057
b'1994157N17074',16.69038340347869,73.33847175585737
b'1995284N17074',16.8477534576595,73.29101535651691
b'1996167N16072',20.71454501598147,70.77636197993542
b'1998152N11075',22.41229404682926,69.62491556005455
b'1998285N14068',21.354286686516396,69.86952546284103
b'1999135N12073',23.70048922247522,68.39967587790693
b'2001141N14068',23.20420170095045,68.60420264447238
b'2004274N16069',20.9365888622289,70.30976537721983
b'2009174N18072',20.742445083764885,71.0
b'2009313N11072',18.255058286062944,72.93670523482305
b'2015173N20067',20.725894896666254,70.72589489666625
b'2019160N11073',23.00498547352046,70.17008429729944
b'2019273N23070',23.190263409955346,70.48052566548091
b'2019337N11072',10.866593745847904,72.20004567299945
b'2020153N13072',18.245125220162056,73.00884359787607
b'2021133N10071',20.82812455823358,71.21796682718016
b'2023156N10067',23.259466408970667,68.5594660325846
b'2023273N16073',16.706254930787733,73.31251138745436
