sid,lat,lon
b'1842298N11080',10.800000190734863,75.9058560073897
b'1877135N10083',15.872699768158235,80.5999984741211
b'1877192N21090',21.17605535691206,86.81972352165853
b'1877226N21089',21.705838008099292,88.5999984741211
b'1877241N20088',21.549786411638728,87.22510536978541
b'1877249N20088',20.53242841731781,86.78919289206904
b'1878202N18087',18.779805037732636,84.54038839865582
b'1878215N20086',19.7809125188043,85.77863196298401
b'1878218N20089',20.57137981865917,86.84309921640315
b'1878256N19090',19.840859504797635,86.01828288135879
b'1878261N18090',21.61051237172094,88.5999984741211
b'1878301N15084',17.317145157788815,82.65523618601758
b'1878308N16084',17.547907267673732,83.10139372954906
b'1878339N17087',17.700000762939453,83.30628257313462
b'1879140N13081',13.399999618530273,80.32737629063834
b'1879149N21087',20.799999237060547,86.96125547983486
b'1879220N21088',21.399999618530273,86.9724087672656
b'1879256N21090',21.5,87.10859809674714
b'1879265N20089',20.0,86.4194564819336
b'1879284N19092',21.276615130900307,86.86948601159338
b'1879322N13081',13.812847446631455,80.09357493806363
b'1880153N20089',21.820725977114463,87.93963796857847
b'1880177N19088',19.840859001211328,86.0182805044899
b'1880196N20089',21.040509367982782,86.85694381152825
b'1880214N20088',21.0,86.8717951304877
b'1880233N21089',21.189289409157126,86.8214253507183
b'1880257N19089',19.401963403809745,85.09214333300321
b'1880265N20088',20.464465030219305,86.80660253535746
b'1880267N21088',21.223722468870793,86.83674324121152
b'1880287N17085',17.393040204003334,82.8116021054673
b'1881154N20089',21.705838008099292,88.5999984741211
b'1881157N21088',20.931816627139117,86.90454958103243
b'1881165N21089',21.56202195004589,88.18397175052475
b'1881183N21088',20.600000381469727,86.88234045663214
b'1881194N21090',21.534581062947325,87.17507399717907
b'1881214N20087',20.384327762972408,86.80970023606304
b'1881230N21089',21.545691651612945,87.2086177863976
b'1881254N20089',20.742349467535313,87.00237001912352
b'1881277N17085',18.164414478229155,83.83558865771619
b'1881315N11082',12.825747381136527,80.24850719768
b'1882192N21089',20.587136398160766,86.86432272294253
b'1882199N21089',21.59579221111237,87.43894513737685
b'1882204N20089',20.52207472749044,86.77792832426738
b'1882231N21089',21.249469850280644,86.85158751802462
b'1882249N20090',20.056919729300137,86.42924037187422
b'1882257N18087',19.504632891339607,85.16357801353023
b'1882269N16092',20.544565443921673,86.8072455661448
