lat,lon
13.7,72.2
11.6,73.0
13.8,66.7
22.1,68.1
22.1,68.1
12.9,60.7
12.2,70.7
7.2,61.9
17.5,71.4
15.6,68.3
13.8,70.4
18.9,69.0
7.8,74.4
16.8,60.8
19.7,70.3
11.9,73.0
15.2,67.7
18.1,69.5
13.5,69.5
20.1,70.4
20.9,70.1
11.3,59.4
11.4,60.0
6.3,73.5
11.7,55.3
19.2,70.4
13.9,64.4
10.5,64.7
9.3,63.3
16.3,72.2
13.5,71.9
20.6,69.8
17.4,67.1
12.3,57.8
20.0,67.0
20.8,67.0
12.3,62.0
9.7,73.7
8.7,70.3
14.7,71.0
11.9,62.1
19.6,67.4
10.3,73.1
12.8,67.1
14.3,69.4
10.2,66.3
8.5,68.4
6.8,73.2
18.8,71.2
18.7,71.6
20.8,70.2
5.6,72.0
11.2,71.1
11.7,68.0
12.4,71.8
12.1,69.9
17.0,69.4
19.9,64.0
10.4,74.6
12.3,74.2
10.8,74.6
10.9,74.1
9.0,70.1
14.9,71.8
12.3,70.9
22.7,66.3
17.6,71.7
24.3,69.0
24.3,69.0
19.1,70.0
14.4,74.3
16.3,69.7
11.6,72.8
10.1,72.7
11.8,74.3
12.6,71.7
9.8,73.9
10.7,71.2
15.3,71.3
14.8,71.7
15.9,70.1
16.8,70.2
10.9,71.3
9.5,74.5
18.1,72.1
17.4,63.0
15.5,71.8
22.1,67.5
22.6,69.2
7.7,72.3
10.4,70.7
17.4,70.1
7.5,69.2
18.2,68.2
7.7,63.4
10.8,72.7
11.4,73.4
11.9,73.2
19.4,70.1
21.0,71.8
19.9,70.1
17.7,71.3
14.3,72.7
11.2,70.1
10.7,68.4
8.8,70.7
18.2,71.4
19.7,71.5
8.9,69.9
20.7,70.1
10.5,69.2
10.5,67.1
13.5,72.7
18.8,71.5
21.5,70.2
23.9,69.3
16.9,64.5
22.2,69.3
7.6,68.4
15.8,70.7
18.8,65.4
8.5,72.8
16.5,71.1
18.7,71.2
9.3,72.4
6.5,71.4
12.5,72.0
11.7,70.7
18.9,68.4
14.2,71.6
13.6,71.7
9.8,71.4
19.2,62.3
10.7,70.6
6.8,72.7
21.5,67.5
22.0,66.5
5.6,60.7
9.1,66.9
11.7,61.3
16.0,68.4
20.5,70.6
14.6,70.1
12.0,61.9
11.4,69.1
16.1,70.9
14.2,69.9
8.5,71.5
9.0,72.5
20.6,71.7
20.7,67.4
16.4,72.5
11.5,69.5
10.7,70.6
11.9,65.6
15.8,70.6
10.6,63.0
13.3,70.6
9.5,71.6
11.3,74.8
20.5,69.0
13.5,71.0
11.5,66.0
9.0,67.0
20.5,71.0
10.7,56.2
18.5,67.5
15.0,67.0
19.5,71.5
22.0,70.0
12.1,72.1
16.1,60.9
14.2,73.6
17.1,71.7
9.9,70.3
5.6,72.4
11.0,69.5
16.6,73.7
7.5,69.5
16.9,73.5
16.6,62.7
15.6,72.0
7.8,68.7
11.2,61.4
10.6,74.7
18.4,67.7
14.0,69.0
14.0,67.5
10.3,71.9
12.0,72.5
13.7,68.1
16.6,69.8
17.7,70.8
8.6,67.7
8.7,67.1
11.1,74.3
17.5,67.5
16.3,69.0
9.4,67.8
21.5,68.5
20.0,68.5
19.4,68.7
13.7,71.6
11.2,68.2
15.5,66.0
9.0,60.0
18.0,71.5
22.5,68.5
11.0,72.0
9.3,56.5
14.4,65.0
18.1,69.9
13.0,62.0
10.5,65.5
11.0,66.5
9.1,63.8
5.6,66.4
12.4,68.3
10.8,62.1
13.1,68.5
20.0,67.0
12.7,71.3
10.7,65.1
14.0,66.9
21.7,67.8
11.2,68.9
10.5,72.7
19.3,71.3
23.1,70.2
14.7,66.4
10.7,72.3
9.4,62.2
12.9,72.2
17.8,69.0
11.2,62.6
10.0,70.9
14.0,67.5
21.6,69.0
22.1,67.2
12.0,74.2
10.3,66.7
15.9,72.8
10.7,62.6
