lat,lon
19.8,88.1
23.8,84.1
19.9,88.0
19.8,89.0
10.3,85.3
9.4,82.6
6.9,88.2
19.9,87.0
18.1,90.4
21.4,90.6
21.9,89.0
18.8,88.1
20.3,88.6
14.9,89.4
10.2,83.6
14.1,85.4
8.0,85.5
11.3,87.8
19.6,87.0
16.8,87.4
16.8,87.4
23.0,88.5
21.3,88.6
21.3,91.7
19.4,87.7
16.8,90.1
9.8,83.9
18.1,89.4
20.5,88.1
17.8,88.8
23.4,80.3
17.5,86.4
10.6,96.5
11.9,86.1
10.5,89.3
9.1,93.1
19.6,89.0
21.0,88.2
23.1,88.1
21.0,88.1
18.8,88.0
19.9,88.0
10.2,91.0
13.6,96.9
11.8,95.8
8.6,89.3
8.1,91.2
5.5,92.3
13.9,93.0
13.5,85.1
23.3,85.8
19.2,87.0
22.8,90.6
22.8,89.2
21.6,90.6
21.2,89.0
21.3,89.8
15.0,86.0
17.0,86.0
9.3,83.0
10.0,89.9
7.9,87.3
7.2,92.8
9.6,96.0
14.0,94.3
18.3,90.6
20.5,90.4
19.1,89.1
13.5,96.3
8.6,88.9
15.1,88.4
15.1,92.6
14.3,91.7
8.9,85.9
10.8,88.8
13.6,94.2
11.2,91.6
20.1,88.5
20.9,88.8
21.0,88.1
22.3,88.9
20.9,88.7
18.9,87.4
20.3,88.4
23.4,90.9
14.4,94.1
16.0,83.0
7.7,83.6
15.0,93.8
8.5,85.9
10.9,89.6
9.2,84.6
22.2,91.1
17.5,87.0
23.8,88.4
23.8,87.2
16.1,89.0
15.7,92.7
14.2,95.3
10.3,85.3
10.2,87.0
13.4,88.4
13.5,95.5
17.3,91.4
18.6,86.7
22.0,85.0
19.1,88.0
21.0,88.0
20.1,89.1
19.6,86.4
21.1,88.4
17.3,90.3
20.7,88.3
15.5,87.6
17.3,88.7
10.2,90.7
12.9,88.9
10.5,88.5
18.6,89.3
23.5,87.8
19.0,92.0
19.0,88.7
20.5,90.6
17.7,89.2
22.4,87.2
14.7,93.5
9.8,84.1
8.4,91.3
9.8,87.6
10.6,91.2
14.2,86.6
17.2,91.4
18.5,85.8
19.7,88.2
20.6,89.3
22.0,90.1
22.6,89.6
21.0,90.2
19.6,88.0
18.7,88.5
11.9,84.9
7.8,86.1
11.0,83.7
5.5,83.4
18.2,89.1
18.8,88.5
20.4,92.0
21.5,88.0
17.9,90.9
7.9,86.3
13.8,91.4
11.8,87.2
